RIDOT MAP Bike Paths,Type,SCORP_Filtered ID,SCORP_Filtered Name,RIDOTbike15 FNODES,RIDOTbike15 Name,Link,Street,Town,OwnerTyp,ConsType,ConsJuri,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,ActiveRec,Lon,Lat,Summary
Blackstone River Bikeway,Bike Path,178,Blackstone Bikeway,,,http://www.dot.ri.gov/community/bikeri/blackstone.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Bike Path,Bike Path,2555,East Bay Bike Path,"212, 214, 256, 154, 162, 157, 195, 162, 137, 139",East Bay Bikeway - State Existing,http://www.dot.ri.gov/community/bikeri/eastbay.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William C. O'Neill Bike Path,Bike Path,,,,,http://southcountybikepath.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Secondary Bike Path,Bike Path,2657,Washington Secondary Bike Path,,,http://www.dot.ri.gov/community/bikeri/washington.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Lippitt Woonasquatucket River Greenway,Bike Path,,,,,http://www.dot.ri.gov/community/bikeri/woonasquatucket.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten Mile River Greenway,Bike Path,,,,,http://www.dot.ri.gov/community/bikeri/tenmile.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quonset/Davisville Bike Path,Bike Path,,,,,http://www.dot.ri.gov/community/bikeri/quonset.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren Bike Path,Bike Path,,,,,http://www.dot.ri.gov/community/bikeri/warren.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
